;General index;Food and non-alcoholic beverages;Alcoholic beverages and tobacco;Clothing and footwear;Housing;Household goods;Medicine;Transport;Communications;Leisure and culture;Education;Hotels. cafés and restaurants;Other goods and services
09/2018;104.4;103.7;103.7;96.7;107.6;100.5;102;110.6;104;100.8;101.7;105.2;103
08/2018;104.3;103.5;103.8;92.4;106.6;100.3;102;110.1;103.8;104.7;101.3;105.7;103
07/2018;104.2;103.4;103.8;93.6;106;100.3;102.3;109.9;103.9;103.9;101.3;105.6;102.7
06/2018;104.8;104.1;103.8;107.7;105;101;102.2;110;104;101.9;101.3;104.9;102.8
05/2018;104.5;103.9;103.7;108.8;104.4;101.1;102.1;109.7;104.1;101;101.3;104.4;102.8
04/2018;103.5;103.4;103.4;105.4;102.9;100.9;101.5;107.6;104.1;100.6;101.3;103.7;102.5
03/2018;102.8;103.2;103.2;95.5;103;100.5;101.5;106.5;102.8;102.1;101.3;103.1;102.5
02/2018;102.7;103.1;102.8;91.8;104.7;100.3;101.5;106.5;103;101.6;101.3;102.4;102.3
01/2018;102.5;103.1;102.4;94;104.4;100.2;101.7;107.2;101.1;100.1;101.3;101.6;101.8
12/2017;103.4;102.6;102;111.1;104.5;100.5;101.7;106.3;100.9;101.7;101.3;101.8;101.8
11/2017;103.2;102.5;101.8;112;104.4;100.5;101.3;106;101.4;100.1;101.3;101.9;101.8
10/2017;102.8;102.8;101.7;106.2;103.6;100.5;101.3;105;101.3;100.2;101.3;103;101.7
09/2017;102.1;101.7;101.6;95.6;102.4;100.1;101.3;105.2;101.5;101.9;100.8;103.5;101.7
08/2017;102.1;101.4;101.7;91.5;102.3;99.8;101.3;104.5;101.4;105.6;100.8;104.3;101.8
07/2017;101.8;101.5;101.6;92.8;102.2;99.9;101.5;103.3;101.4;104.4;100.8;103.6;101.6
06/2017;102.3;101.4;101.5;106.8;102.6;100.5;101.4;103.2;101.9;101.1;100.8;102.8;101.7
05/2017;102.2;101.4;101.5;107.8;102.4;100.6;101.5;103.8;101.9;99.7;100.8;102.3;101.5
04/2017;102.2;101;101.3;104.5;102.2;100.4;101.5;105.1;101.3;102.4;100.8;101.9;101.5
03/2017;101.3;101.1;101.5;94.6;102.2;100.3;101.1;104.5;100.9;100.7;100.8;101;101.3
02/2017;101.3;101.4;101.5;91.2;103.6;99.9;100.7;104.9;100.8;100.6;100.8;100.2;101.1
01/2017;101.6;101.3;101.3;93.4;106.3;100;100.2;104.6;100.4;100.3;100.8;99.8;100.8
12/2016;102.1;100.5;100.6;110.4;103.7;100.8;100;103.5;100.8;102.5;100.8;100;100.6
11/2016;101.3;99.9;100.2;111.6;102.6;100.9;100;101.8;100.8;98.2;100.7;99.9;100.5
10/2016;101;99.8;100.1;105.8;102;100.6;100;102.1;100.8;98.4;100.7;100.5;100.5
09/2016;99.9;99.6;100;94.8;100.2;100.2;99.8;101;100.8;100;100.1;100.8;100.3
08/2016;100.1;100.6;99.9;90.7;99.8;99.7;100;100.5;100.8;104.4;99.7;101.3;100.3
07/2016;99.9;100.8;99.9;92.2;99.8;99.5;100.1;100.5;100;102.7;99.7;100.8;99.7
06/2016;100.5;100.3;100;106.4;99.6;100.4;100.3;101.1;99.9;99;99.7;100.3;99.9
05/2016;100;100.1;100.1;107.4;97.9;100.1;100.2;100.1;99.9;97.9;99.7;100.1;99.8
04/2016;99.5;99.8;100;104;97.7;99.8;100;98.5;99.9;98.4;99.7;99.8;99.8
03/2016;98.8;99.5;99.9;93.7;98.5;99.7;99.9;97.7;99.3;100.1;99.7;99.3;99.7
02/2016;98.2;99.4;99.8;90.3;98.5;99.1;99.9;96.3;99.3;99.5;99.7;99;99.6
01/2016;98.5;99.8;99.6;92.6;99.9;99.2;99.8;96.8;97.8;99;99.7;98.3;99.3
12/2015;100.2;99;99.6;109.4;103.1;99.9;99.8;98.6;97.6;101;99.7;98.3;98.3
11/2015;100.4;98.8;99.6;110.5;103;99.7;99.8;100.2;97.7;99.5;99.7;98.3;98.3
10/2015;100.1;99.2;99.6;104.8;102.4;99.5;99.9;100.2;97.7;99.8;99.7;99.1;98.3
09/2015;99.5;98.7;99.7;94;102.8;99.1;99.8;100.9;98.1;100.9;99.1;99.6;98.2
08/2015;100;98.7;99.8;90.1;103.7;98.7;99.6;102.4;98.1;103.9;98.6;100.9;98.1
07/2015;100.3;98;99.7;91.6;104.8;98.8;100;104.9;98.1;103;98.6;100.1;98.2
06/2015;101.1;98.5;99.6;105.7;104.7;99.2;99.7;105.3;98.1;100.6;98.6;99.2;98.3
05/2015;100.8;98.1;99.7;106.8;103.7;99.1;99.7;105.3;98.2;99.9;98.6;98.8;97.9
