;General index;Food and non-alcoholic beverages;Alcoholic beverages and tobacco;Clothing and footwear;Housing;Household goods;Medicine;Transport;Communications;Leisure and culture;Education;Hotels, cafés and restaurants;Other goods and services
09/2018;104,0;102,8;103,9;97,2;108,6;99,5;101,0;109,6;104,2;100,3;101,9;104,9;101,9
08/2018;103,8;102,8;103,8;92,3;107,4;99,3;100,9;109,1;104,1;103,5;101,5;105,0;101,9
07/2018;103,6;102,8;103,8;93,4;106,7;99,3;101,1;108,9;104,2;102,8;101,5;104,8;101,7
06/2018;104,4;103,5;103,9;106,9;105,8;100,1;101,2;109,2;104,2;101,2;101,5;104,2;101,9
05/2018;104,1;103,0;103,8;108,2;105,2;100,1;101,1;108,8;104,3;100,3;101,5;103,8;101,8
04/2018;103,2;102,3;103,6;105,5;103,4;99,8;100,9;106,8;104,2;100,4;101,5;103,4;101,7
03/2018;102,3;102,2;103,3;95,7;103,5;99,5;100,8;105,6;103,0;101,4;101,4;103,0;101,5
02/2018;102,2;102,1;103,0;91,7;105,5;99,2;100,7;105,7;103,2;101,0;101,4;102,4;101,4
01/2018;102,1;102,3;102,6;93,1;105,1;99,2;100,7;106,3;101,2;99,6;101,4;101,9;101,1
12/2017;103,2;102,0;102,1;110,0;105,7;99,9;100,7;105,4;101,0;101,1;101,4;102,0;101,3
11/2017;103,1;102,0;101,9;112,3;105,5;99,9;100,6;105,3;101,4;99,6;101,4;101,8;101,0
10/2017;102,7;102,3;101,8;106,9;104,5;99,6;100,7;104,3;101,4;99,8;101,4;102,6;101,0
09/2017;101,7;101,1;101,7;96,2;103,1;99,4;100,8;104,3;101,5;101,4;100,9;102,9;100,9
08/2017;101,6;100,8;101,7;91,4;103,0;99,1;100,9;103,7;101,5;104,6;100,7;103,1;100,9
07/2017;101,4;100,9;101,7;92,5;102,9;99,0;101,0;102,8;101,4;103,5;100,7;102,7;100,7
06/2017;102,1;101,0;101,7;105,9;103,1;100,0;101,0;102,9;101,9;100,7;100,7;102,4;101,0
05/2017;102,0;101,0;101,7;107,2;102,8;100,0;100,9;103,5;101,9;99,5;100,7;101,8;100,9
04/2017;102,1;100,7;101,5;104,6;102,6;99,7;100,8;104,7;101,4;101,8;100,7;101,8;100,9
03/2017;101,1;100,8;101,6;95,0;102,5;99,5;100,6;104,2;100,9;100,3;100,7;100,8;100,8
02/2017;101,1;101,2;101,6;91,2;104,1;99,3;100,5;104,6;100,8;100,4;100,7;100,4;100,7
01/2017;101,5;101,0;101,3;92,7;107,3;99,5;100,4;104,4;100,4;100,1;100,7;99,9;100,7
12/2016;102,0;100,3;100,4;109,5;104,3;100,3;100,3;103,4;100,8;101,7;100,7;100,1;100,6
11/2016;101,4;99,8;100,1;111,8;103,0;100,4;100,2;101,7;100,8;98,5;100,7;100,0;100,5
