;2014;2015;2016;2017;2018
el Raval;10.8;11.5;13.2;14.4;14.1
el Barri Gòtic;10.4;11.6;13.8;14.4;14.2
la Barceloneta;16.1;16.7;18.6;20.3;16.3
Sant Pere. Santa Caterina i la Ribera;11.1;13.4;14.8;15.7;15.1
el Fort Pienc;9.8;11.4;12.0;13.5;12.9
la Sagrada Família;10.3;11.4;12.7;13.1;13.4
la Dreta de l'Eixample;9.9;11.7;13.0;14.0;13.7
l'Antiga Esquerra de l'Eixample;10.4;11.8;12.9;14.0;14.0
la Nova Esquerra de l'Eixample;10.5;11.8;12.9;13.9;13.8
Sant Antoni;9.9;11.2;12.3;13.5;13.1
el Poble Sec;10.2;11.7;12.9;14.1;13.4
la Marina de Port;8.7;8.8;9.6;10.7;10.2
la Font de la Guatlla;11.0;11.5;13.0;13.3;12.6
Hostafrancs;10.6;11.5;12.6;13.2;13.4
la Bordeta;9.4;10.3;11.2;12.0;11.4
Sants - Badal;9.8;11.0;12.2;13.3;12.9
Sants;10.1;11.3;12.3;13.5;12.8
les Corts;11.0;12.4;13.8;14.6;14.6
la Maternitat i Sant Ramon;10.5;11.9;13.4;13.4;13.3
Pedralbes;14.0;15.6;15.0;15.2;17.7
Vallvidrera. el Tibidabo i les Planes;15.9;9.8;15.4;18.6;11.6
Sarrià;13.5;16.0;14.9;17.3;17.0
les Tres Torres;13.2;14.3;15.6;18.4;16.4
Sant Gervasi - la Bonanova;11.4;13.9;14.2;16.2;15.8
Sant Gervasi - Galvany;11.6;13.5;14.1;14.6;14.7
el Putxet i el Farró;10.9;12.5;13.6;15.3;14.4
Vallcarca i els Penitents;10.6;12.1;13.5;14.0;13.0
el Coll;9.6;10.1;12.0;11.7;11.8
la Salut;10.2;12.4;13.2;11.5;12.7
la Vila de Gràcia;11.2;12.6;14.3;15.1;14.5
el Camp d'en Grassot i Gràcia Nova;10.1;12.2;12.8;13.5;13.9
el Baix Guinardó;9.6;11.1;11.8;12.4;12.7
Can Baró;9.6;10.7;12.3;12.6;11.9
el Guinardó;9.0;10.8;11.7;12.5;11.9
la Font d'en Fargues;8.8;14.8;11.3;12.3;11.4
el Carmel;8.7;9.3;10.7;11.1;11.1
la Teixonera;8.9;9.4;11.6;11.4;11.9
Sant Genís dels Agudells;7.7;8.8;9.1;9.5;9.8
Montbau;9.3;10.1;10.7;13.5;10.4
la Vall d'Hebron;10.7;10.0;11.4;12.9;12.3
Horta;9.3;9.8;10.8;12.3;11.5
Vilapicina i la Torre Llobeta;8.6;9.6;11.3;11.6;11.1
Porta;8.5;9.9;10.5;11.0;11.5
el Turó de la Peira;8.2;9.2;9.6;11.1;11.0
la Guineueta;8.3;8.2;9.2;9.8;9.9
Canyelles;7.7;7.8;7.7;9.0;9.7
les Roquetes;8.5;8.9;10.0;10.9;11.0
Verdun;9.5;10.1;10.9;11.7;11.6
la Prosperitat;9.0;9.5;11.1;11.4;11.4
la Trinitat Nova;8.0;8.8;8.7;10.8;12.1
Torre Baró;5.2;5.2;10.1;7.2;7.2
Ciutat Meridiana;6.2;6.7;7.7;7.5;8.4
la Trinitat Vella;7.1;8.0;9.6;10.1;10.2
el Bon Pastor;8.6;9.3;9.1;8.8;11.4
Sant A-reu;8.9;10.0;11.2;12.4;11.6
la Sagrera;9.0;10.6;10.7;11.7;12.1
el Congrés i els I-ians;9.0;9.2;10.5;11.2;11.5
Navas;9.2;10.3;11.9;11.7;11.9
el Camp de l'Arpa del Clot;9.6;11.2;12.4;13.3;13.1
el Clot;9.5;10.6;11.4;12.5;12.7
el Parc i la Llacuna del Poblenou;9.7;12.2;13.7;13.4;14.7
la Vila Olímpica del Poblenou;12.3;13.1;16.7;17.7;17.1
el Poblenou;10.2;12.5;13.4;14.2;14.3
Diagonal Mar i el Front Marítim del Poblenou;11.5;14.9;16.7;16.5;18.2
el Besòs i el Maresme;8.1;8.3;8.9;10.4;10.7
Provençals del Poblenou;10.0;10.9;12.7;12.7;13.3
Sant Martí de Provençals;8.9;9.5;10.7;10.8;11.9
la Verneda i la Pau;8.1;8.9;9.1;10.4;11.0
