Population growth;;;
Catalonia. ;;;
Number;;;
Source: Idescat. Population estimates, Births Statistics and Deaths Statistics.;;;
Institut d'Estadística de Catalunya;;;
https://www.idescat.cat/indicadors/?id=anuals&n=10330&t=200900&col=1&lang=en;;;
;Total growth;Natural population change;Migratory growth
2016;47944;5685;42259
2015;23578;5584;17994
2014;-9140;10270;-19410
2013;-45074;10784;-55858
2012;-36430;14461;-50891
2011;13545;21275;-7730
2010;39809;24946;14863
2009;45439;25205;20234
2008;118292;29539;88753
2007;151579;24364;127215
2006;151797;24821;126976
2005;148245;18418;129827
2004;153395;19591;133804
2003;134557;12904;121653
2002;160574;11037;149537
2001;144861;8930;135931
2000;78758;8147;70611
Population growth;;;
Spain. ;;;
Number;;;
Source: INE. Population figures, Births Statistics and Deaths Statistics.;;;
Institut d'Estadística de Catalunya;;;
https://www.idescat.cat/indicadors/?id=anuals&n=10330&t=200900&col=1&lang=en;;;
;Total growth;Natural population change;Migratory growth
2016;87925;-28;87953
2015;-3737;-2278;-1459
2014;-62634;31765;-94399
2013;-215691;35296;-250987
2012;-90326;51698;-142024
2011;151041;84088;66953
2010;180554;104528;76026
2009;247350;110064;137286
2008;570332;133455;436877
2007;884279;107166;777113
2006;774690;111479;663211
2005;713634;79016;634618
2004;748881;82657;666224
2003;719619;57053;662566
2002;792565;50228;742337
2001;369726;46249;323477
2000;195363;37241;158122
